Nama,Sentimen,Ulasan
"""TIGER_SEMBRANI""",Negatif,udah ga penasaran udah pernah masuk😂
. Akbar,Negatif,AKSESNYA SUSAH! SAMPAH
___cumulonimbus99,Negatif,wadidaw panjang banget ges 4 jam
__Rihaann,Positif,keren kieu anyengg stadion jis 🙌
_damarsty,Negatif,"nungguin jis rampung lama banget, kasian stadion bola naru pernah dipake fun football🙃 tar kalo udah 100% semoga kaga ada drama pager roboh lagi😀"
_daskin,Negatif,artinya apa bang messi?
_Jepri,Negatif,coba kalau gak ada trek larinya keren itu
_MazHb,Positif,Persija auto support pak Anis 10 periode😂
_xcalfancyy,Negatif,Anjay 65k penonton gk bener musim depan klo Persija gk bisa pake jis
~^eiger^~,Negatif,wkwkwk tak seindah di Qatar itu yang di nama kan stadion paling bagus
~008,Positif,bernabeu nya indo cuy😂
~Rehan,Negatif,itu deket tempat tinggal ku
03yanti1,Positif,"Anieees,, kereeeeen,,,🥰🥰🥰"
055_MIB_Adam Zuhruf ananda farendra,Positif,"Keren bangett, megah dan sangat luar biasa, rumputnya sangat bagus dan fasilitas lengkap"
07_______wandi.larico,Negatif,STADION TERKOCAK! MAKAN TUH KONSER
1%Manusia,Positif,"semoga ga stadion kita aja yg maju,semoga sepak bola kita juga bisa maju☺"
123456788p,Negatif,tidk standar pssi ygy
12deni12,Negatif,jangan alesan lahan parkir lgi ya
14mei ,Negatif,jis gak jadi stadion standar timnas Indonesia
3387L,Positif,Mirip di luar negeri nih salam dari bandung selamat persijaa setadion baru
4g0y,Negatif,"Pokoknya mahhh kalo tim indonesia main di situ kameranya jangan indosiar,nanti kaya di liga 1 yang udh aja udh."
555⚡,Positif,yg keren itu kuli nya yg buat
6_Ibnu Sina,Positif,"stadion sepakbola yang sedang dibangun di Papanggo, Tanjung Priok, Jakarta Utara, Jakarta, Indonesia. Stadion ini akan mampu menampung 82.000 penonton Mulai pembangunan 14 Maret 2019; 3 tahun lalu. Ukuran lapangan105 x 68 meter"
666ルシファー,Negatif,coba aja tol yg dismpingnya itu diadain jalan kesitu kan enak 😊 dan formula E nya dijadiin tempat parkir pasti lebih kepake
666WANN,Negatif,tapi sayang tidak standart pssi
74n6.u,Negatif,Lah... 3mang stadion buat konser mas bro  wkwkwk😂
75Moncrot,Positif,Keren banget
A,Positif,merinding 🔥
A. Aryanto,Positif,Tabarakallah ... stadion kereeeen buat kita semua
a.candra,Negatif,ada VAR gk
A.I.D.L☄️,Positif,mungkin ga standar pssi biar dipake nya buat pertandingan bergengsi dari fifa aja
A.O.K乂  𝐉𝐀𝐖𝐀𝐒𝐎𝐅𝐓,Negatif,apakah sudah standar fifa?
¡ř$¥ãđ,Positif,setedionnya keren bet dah 😁🥰🥰
มาส ร🚀,Positif,anjir gw pertama liat gw kira Eropa eh trus ada tulisan ruang pemanasan😂keren sih vibes eropa
ødegaard,Positif,kirain wembley stadion
修,Positif,SDM HARUS LEBIH BAIK LAGI
★DaNzZ★,Negatif,jika indo vs argen maen diaini gw akan nonton walupun berjuta juta ticketn😊
★irvani★,Positif,mantap 🥰
☆ntaeknv☆,Positif,g sbr nntn blackpink d siniii
サンドリ,Negatif,"standar dalam Rumit standar luar ELIT sudah, pasti dikaji baik."
